risk_decile,accounts,mean_predicted_pd,observed_default_rate
1,596,0.03439014191696239,0.031879194630872486
2,596,0.06235135247776732,0.04865771812080537
3,596,0.08419226144820034,0.06040268456375839
4,596,0.10535132762974517,0.11912751677852348
5,596,0.12439821074952774,0.1493288590604027
6,596,0.14794216784072414,0.16778523489932887
7,596,0.17945753642277074,0.15268456375838926
8,596,0.22883339192297755,0.2332214765100671
9,596,0.3360719830034724,0.35906040268456374
10,596,0.6925743846177252,0.6728187919463087
